Active metal,Shape,Electrode support,Particle size (nm),Potential (V vs. RHE),Anion of Electrolyte ,[C] of Anion (M),Cation of Electrolyte ,[C] of Cation (M),Membrane,H2,CO,C1,C2+,sum,< 70,Paper
Cu,Nanoparticle,Ketjen Black,24,-1.6,K+,0.1,HCO3-,0.1,Proton exchange membrane,14.3902439,2.195121951,42.92682927,33.90243902,93.41463414,FALSE,
Cu,Nanoparticle,Ketjen Black,24,-1.4,K+,0.1,HCO3-,0.1,Proton exchange membrane,16.58536585,3.414634146,28.53658537,34.14634146,82.68292683,FALSE,
Cu,Nanoparticle,Ketjen Black,24,-1.2,K+,0.1,HCO3-,0.1,Proton exchange membrane,27.56097561,3.902439024,13.41463415,15.12195122,60,TRUE,
Cu,Nanoparticle,Ketjen Black,24,-1,K+,0.1,HCO3-,0.1,Proton exchange membrane,42.09756098,14.87804878,4.634146341,8.292682927,69.90243903,TRUE,
Cu,Nanoparticle,Ketjen Black,24,-0.8,K+,0.1,HCO3-,0.1,Proton exchange membrane,50.24390244,5.365853659,1.219512195,0.243902439,57.07317073,TRUE,
Cu,Nanoparticle,Ketjen Black,24,-0.6,K+,0.1,HCO3-,0.1,Proton exchange membrane,86.82926829,8.048780488,0,0,94.87804878,FALSE,
Cu,Nanoparticle,Vulcan XC-72R,27,-1.6,K+,0.1,HCO3-,0.1,Proton exchange membrane,18.04878049,0.975609756,34.3902439,37.07317073,90.48780488,FALSE,
Cu,Nanoparticle,Vulcan XC-72R,27,-1.4,K+,0.1,HCO3-,0.1,Proton exchange membrane,19.51219512,2.926829268,34.14634146,32.43902439,89.02439024,FALSE,
Cu,Nanoparticle,Vulcan XC-72R,27,-1.2,K+,0.1,HCO3-,0.1,Proton exchange membrane,25.85365854,6.829268293,22.92682927,25.12195122,80.73170732,FALSE,
Cu,Nanoparticle,Vulcan XC-72R,27,-1,K+,0.1,HCO3-,0.1,Proton exchange membrane,49.02439024,10.73170732,1.463414634,3.902439024,65.12195122,TRUE,
Cu,Nanoparticle,Vulcan XC-72R,27,-0.8,K+,0.1,HCO3-,0.1,Proton exchange membrane,60.24390244,3.902439024,0,0,64.14634146,TRUE,
Cu,Nanoparticle,Vulcan XC-72R,27,-0.6,K+,0.1,HCO3-,0.1,Proton exchange membrane,83.65853659,0,0,0,83.65853659,FALSE,
Cu,Nanoparticle,Carbon paper,25,-0.49,K+,0.95,ClO4-,0.95,Proton exchange membrane,85.255,6.113333333,5.566666667,0.023333333,96.95833333,FALSE,Promoting Cu-catalysed CO2 electroreduction to multicarbon products by tuning the activity of H2O
Cu,Nanoparticle,Carbon paper,25,-0.58,K+,0.95,ClO4-,0.95,Proton exchange membrane,79.06333333,12.82,5.987666667,0.055,97.926,FALSE,
Cu,Nanoparticle,Carbon paper,25,-0.67,K+,0.95,ClO4-,0.95,Proton exchange membrane,67.59666667,23.03666667,7.922666667,0.177333333,98.73333334,FALSE,
Cu,Nanoparticle,Carbon paper,25,-0.75,K+,0.95,ClO4-,0.95,Proton exchange membrane,60.33372354,27.554,10.12333333,1.537,99.54805687,FALSE,
Cu,Nanoparticle,Carbon paper,25,-0.82,K+,0.95,ClO4-,0.95,Proton exchange membrane,34.94666667,35.39166667,18.24333333,9.513333333,98.095,FALSE,
Cu,Nanoparticle,Carbon paper,25,-0.88,K+,0.95,ClO4-,0.95,Proton exchange membrane,32.17733333,28.87166667,23.84033333,15.304,100.1933333,FALSE,
Cu,Nanoparticle,Carbon paper,25,-0.49,K+,5.38,ClO4-,5.38,Proton exchange membrane,76.24333333,11.03333333,11.81766667,0.373333333,99.46766666,FALSE,
Cu,Nanoparticle,Carbon paper,25,-0.58,K+,5.38,ClO4-,5.38,Proton exchange membrane,71.43333333,11.48766667,8.493333333,6.393333333,97.80766667,FALSE,
Cu,Nanoparticle,Carbon paper,25,-0.67,K+,5.38,ClO4-,5.38,Proton exchange membrane,52.34366667,18.42,14.28333333,5.683333333,90.73033333,FALSE,
Cu,Nanoparticle,Carbon paper,25,-0.75,K+,5.38,ClO4-,5.38,Proton exchange membrane,16.02,35.91333333,10.88,33.535,96.34833333,FALSE,
Cu,Nanoparticle,Carbon paper,25,-0.82,K+,5.38,ClO4-,5.38,Proton exchange membrane,8.606666667,16.47666667,7.183333333,65.93666667,98.20333334,FALSE,
Cu,Nanoparticle,Carbon paper,25,-0.88,K+,5.38,ClO4-,5.38,Proton exchange membrane,12.83,11.22333333,5.313333333,64.69,94.05666666,FALSE,
Cu,Nanoparticle,Carbon paper,25,-0.75,K+,0.95,ClO4-,0.95,Proton exchange membrane,60.33372354,27.554,10.12333333,1.537,99.54805687,FALSE,
Cu,Nanoparticle,Carbon paper,25,-0.75,K+,2.55,ClO4-,2.55,Proton exchange membrane,40.27,34.04,8.801,7.516666667,90.62766667,FALSE,
Cu,Nanoparticle,Carbon paper,25,-0.75,K+,3.89,ClO4-,3.89,Proton exchange membrane,22.53,33.09,10.29,28.47333333,94.38333333,FALSE,
Cu,Nanoparticle,Carbon paper,25,-0.75,K+,5.38,ClO4-,5.38,Proton exchange membrane,16.02,35.91333333,11.64,33.535,97.10833333,FALSE,
Cu,Nanoparticle,Carbon paper,25,-0.75,K+,6.33,ClO4-,6.33,Proton exchange membrane,24.955,23.13333333,8.365,35.84333333,92.29666666,FALSE,
Cu,Nanoparticle,Carbon paper,25,-0.75,K+,7.12,ClO4-,7.12,Proton exchange membrane,16,28.5,7.013333333,46.83,98.34333333,FALSE,
Cu,Nanoparticle,Carbon paper,25,-0.75,K+,7.99,ClO4-,7.99,Proton exchange membrane,19.01757426,24.9325,7.223333333,50.36,101.5334076,FALSE,
Cu,Nanoparticle,Carbon paper,25,-0.75,K+,8.49,ClO4-,8.49,Proton exchange membrane,10.12666667,18.685,9.266666667,57.40333333,95.48166667,FALSE,
Cu,Cube,Carbon paper,220,-1.12,K+,0.1,HCO3-,0.1,AnIon exchange membrane,35.35211268,0.845070423,54.92957746,8.309859155,99.43661972,FALSE,"Dynamic Changes in the Structure, Chemical State and Catalytic Selectivity of Cu NanoCubes during CO2 Electroreduction: Size and Support Effects"
Cu,Cube,Carbon paper,220,-1.05,K+,0.1,HCO3-,0.1,AnIon exchange membrane,28.45070423,3.098591549,42.11267606,25.77464789,99.43661973,FALSE,
Cu,Cube,Carbon paper,220,-0.98,K+,0.1,HCO3-,0.1,AnIon exchange membrane,10.14084507,23.8028169,43.52112676,22.95774648,100.4225352,FALSE,
Cu,Cube,Carbon paper,220,-0.88,K+,0.1,HCO3-,0.1,AnIon exchange membrane,40.14084507,14.92957746,42.53521127,2.112676056,99.71830986,FALSE,
Cu,Cube,Carbon paper,320,-1.12,K+,0.1,HCO3-,0.1,AnIon exchange membrane,19.12790698,2.48,75.62874251,12.49146789,109.7281174,FALSE,
Cu,Cube,Carbon paper,320,-1.05,K+,0.1,HCO3-,0.1,AnIon exchange membrane,8.343023256,5.68,71.44710579,21.75605798,107.226187,FALSE,
Cu,Cube,Carbon paper,320,-1,K+,0.1,HCO3-,0.1,AnIon exchange membrane,12.4127907,5.84,56.59680639,36.04215739,110.8917545,FALSE,
Cu,Cube,Carbon paper,320,-0.93,K+,0.1,HCO3-,0.1,AnIon exchange membrane,16.48255814,22.32,36.40718563,25.10437843,100.3141222,FALSE,
Cu,Cube,Carbon paper,320,-0.87,K+,0.1,HCO3-,0.1,AnIon exchange membrane,30.93023256,21.84,42.1756487,5.675675676,100.6215569,FALSE,
Cu,Cube,Carbon paper,580,-1.07,K+,0.1,HCO3-,0.1,AnIon exchange membrane,38.45930233,1.36,51.79640719,20.86275142,112.4784609,FALSE,
Cu,Cube,Carbon paper,580,-1.02,K+,0.1,HCO3-,0.1,AnIon exchange membrane,34.38953488,2.64,43.38323353,31.62261085,112.0353793,FALSE,
Cu,Cube,Carbon paper,580,-0.97,K+,0.1,HCO3-,0.1,AnIon exchange membrane,7.325581395,12.24,33.64271457,45.1674925,98.37578847,FALSE,
Cu,Cube,Carbon paper,580,-0.89,K+,0.1,HCO3-,0.1,AnIon exchange membrane,55.95930233,11.52,34.76047904,0.18018018,102.4199616,FALSE,
Cu,foam,Cu,35,-1,K+,0.5,HCO3-,0.5,Proton exchange membrane,35.89108911,4.702970297,3.712871287,41.58415842,85.89108911,FALSE,Morphology Matters: Tuning the Product Distribution of CO2 Electroreduction on Oxide-Derived Cu Foam Catalysts
Cu,foam,Cu,35,-0.9,K+,0.5,HCO3-,0.5,Proton exchange membrane,27.72277228,8.663366337,5.693069307,47.52475248,89.6039604,FALSE,
Cu,foam,Cu,35,-0.8,K+,0.5,HCO3-,0.5,Proton exchange membrane,14.85148515,15.0990099,6.188118812,53.96039604,90.0990099,FALSE,
Cu,foam,Cu,35,-0.7,K+,0.5,HCO3-,0.5,Proton exchange membrane,12.12871287,24.00990099,4.702970297,50.74257426,91.58415842,FALSE,
Cu,foam,Cu,35,-0.6,K+,0.5,HCO3-,0.5,Proton exchange membrane,20.79207921,34.65346535,5.940594059,29.7029703,91.08910892,FALSE,
Cu,foam,Cu,35,-0.5,K+,0.5,HCO3-,0.5,Proton exchange membrane,35.89108911,40.0990099,1.98019802,10.64356436,88.61386139,FALSE,
Cu,foam,Cu,35,-0.4,K+,0.5,HCO3-,0.5,Proton exchange membrane,49.00990099,38.11881188,0.841584158,3.712871287,91.68316832,FALSE,
Cu2(OH)2CO3,Nanoparticle,Carbon paper,100,-0.777,K+,1,OH-,1,AnIon exchange membrane,13.52542373,34.64373464,5.962325962,56.46226415,110.5937485,FALSE,Copper Electrocatalyst Produced by Cu2(OH)2CO3-Mediated In Situ Deposition for Diluted CO2 Reduction to Multicarbon Products
Cu2(OH)2CO3,Nanoparticle,Carbon paper,100,-0.977,K+,1,OH-,1,AnIon exchange membrane,12.44067797,25.55282555,5.356265356,60.09433962,103.4441085,FALSE,
Cu2(OH)2CO3,Nanoparticle,Carbon paper,100,-1.177,K+,1,OH-,1,AnIon exchange membrane,12.16949153,20.63882064,5.118755119,58.77358491,96.7006522,FALSE,
Cu2(OH)2CO3,Nanoparticle,Carbon paper,100,-1.377,K+,1,OH-,1,AnIon exchange membrane,12.16949153,19.16461916,3.108108108,60.4245283,94.8667471,FALSE,
